begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
153,1,,,,,INTEGER,L,,,,,,BBU At Rate (0x04 of the BBU)
154,1,,,,,FLOAT,,,0,,,,PSU RPM Fan 1
155,1,10,,,,INTEGER,L,,,,,,BBU At Rate Time to Full (0x05 of the BBU)
156,1,10,,,,INTEGER,L,,,,,,BBU At Rate Time to Empty (0x06 of the BBU)
157,1,10,,,,INTEGER,L,,,,,,BBU At Rate OK (0x07 of the BBU)
158,1,,,,,FLOAT,,,7,True,,,PSU Temp 0 (inlet)
159,1,,,,,INTEGER,L,,,,,,BBU Temp (0x08 of the BBU)
160,1,,,,,FLOAT,,,7,True,,,PSU Temp 1 (outlet)
161,1,,,,,INTEGER,L,,,,,,BBU Max Error (0x0C of the BBU)
163,1,,,,,INTEGER,,,,,,,Communication Baud Rate
164,1,,,,,FLOAT,,,12,,,,Charging Constant Current Level Override
165,1,,,,,FLOAT,,,12,,,,Computed Charging Constant Current Level
208,1,,,,,FLAGS,,,,,,,General Alarm Status Register
,,,,7,Communication,,,,,,,,
,,,,6,Fan,,,,,,,,
,,,,5,Temperature,,,,,,,,
,,,,4,Battery Charger,,,,,,,,
,,,,3,Auxiliary,,,,,,,,
,,,,2,Boost Converter,,,,,,,,
,,,,1,DCDC,,,,,,,,
,,,,0,PFC,,,,,,,,
209,1,,,,,FLAGS,,,,,,,PFC Alarm Status Register
,,,,11,LLC enabled,,,,,,,,
,,,,10,Input relay on,,,,,,,,
,,,,9,!(Bulk ok),,,,,,,,
,,,,8,AC_OK,,,,,,,,
,,,,5,!(AC_FREQ_GOOD_HIGH),,,,,,,,
,,,,4,!(AC_FREQ_GOOD_LOW),,,,,,,,
,,,,1,AC_OVP,,,,,,,,
,,,,0,AC_UVP,,,,,,,,
210,1,,,,,FLAGS,,,,,,,DC/DC Alarm Status Register
,,,,10,Oring fail,,,,,,,,
,,,,9,Secondary DSP fail,,,,,,,,
,,,,8,DC/DC fail,,,,,,,,
,,,,3,MAIN_SCKT,,,,,,,,
,,,,2,MAIN_OCP,,,,,,,,
,,,,1,MAIN_OVP,,,,,,,,
,,,,0,MAIN_UVP,,,,,,,,
211,1,,,,,FLAGS,,,,,,,Current Feed Alarm Status Register
,,,,8,CF Failure,,,,,,,,
,,,,4,OPP,,,,,,,,
,,,,3,Battery UVP,,,,,,,,
,,,,2,BOOST_OCP/Battery OVP,,,,,,,,
,,,,1,BOOST_UVP,,,,,,,,
,,,,0,BOOST_OVP,,,,,,,,
212,1,,,,,FLAGS,,,,,,,Auxiliary Alarm Status Register
,,,,8,Aux alarm,,,,,,,,
,,,,2,OCP,,,,,,,,
,,,,1,OVP,,,,,,,,
,,,,0,UVP,,,,,,,,
213,1,,,,,FLAGS,,,,,,,Battery Charger Alarm Status Register
,,,,6,CHARGER_SCKT,,,,,,,,
,,,,5,CHARGER_HW_OVP,,,,,,,,
,,,,3,Charger_Failure_Timeout,,,,,,,,
,,,,2,CHARGER_OCP,,,,,,,,
,,,,1,CHARGER_UVP,,,,,,,,
,,,,0,CHARGER_OVP,,,,,,,,
215,1,,,,,FLAGS,,,,,,,Temperature Alarm Status Register
,,,,15,PFC FET 2 temp alarm,,,,,,,,
,,,,14,PFC FET 1 temp alarm,,,,,,,,
,,,,13,Bridge temp alarm,,,,,,,,
,,,,12,Buck temp alarm,,,,,,,,
,,,,9,Charger temp alarm,,,,,,,,
,,,,8,Boost temp alarm,,,,,,,,
,,,,7,PFC temp alarm,,,,,,,,
,,,,6,LLC temp alarm,,,,,,,,
,,,,5,CF temp alarm,,,,,,,,
,,,,4,Aux temp alarm,,,,,,,,
,,,,3,Sync temp alarm,,,,,,,,
,,,,2,Oring temp alarm,,,,,,,,
,,,,1,Inlet temp alarm,,,,,,,,
,,,,0,Outlet temp alarm,,,,,,,,
216,1,,,,,FLAGS,,,,,,,Fan Alarm Status Register
,,,,0,Fan Tacho Fail,,,,,,,,
217,1,,,,,FLAGS,,,,,,,Communication Alarm Status Register
,,,,11,BBU not_insert,,,,,,,,
,,,,14,BBU protection,,,,,,,,
,,,,13,BBU sleep,,,,,,,,
,,,,12,BBU fail,,,,,,,,
,,,,11,BBU eol,,,,,,,,
,,,,10,soh_check,,,,,,,,
,,,,9,charge_enable,,,,,,,,
,,,,8,stop_discharge,,,,,,,,
,,,,3,Discharger - Logic Fault,,,,,,,,
,,,,2,Secondary - Logic Fault,,,,,,,,
,,,,1,Primary - Secondary Fault,,,,,,,,
,,,,0,BBU Comm Fault,,,,,,,,
262,1,,,,,INTEGER,L,,,,,,BBU Specification Info (0x1A of BBU)
263,1,,,,,INTEGER,L,,,,,,BBU Manufacturer Date (0x1B of BBU)
264,1,,,,,INTEGER,L,,,,,,BBU Serial Number (0x1C of BBU)
265,2,,,,,STRING,,,,,,,BBU Device Chemistry (0x22 of BBU)
267,2,,,,,INTEGER,L,,,,,,BBU Manufacturer Data (0x23 of BBU)
269,8,,,,,STRING,,,,,,,BBU Manufacturer Name (0x20 of BBU)
277,8,,,,,STRING,,,,,,,BBU Device Name (0x21 of BBU)
285,4,,,,,FLAGS,,,,,,,BBU FB Status (0x31 of the BBU)
,,,,63,Charge timeout,,,,,,,,
,,,,61,BMS Failure,,,,,,,,
,,,,60,Cell voltage under 2.0V,,,,,,,,
,,,,59,FET Failure,,,,,,,,
,,,,58,Temperature above 85C,,,,,,,,
,,,,57,Cell voltage above 4.22V (analog),,,,,,,,
,,,,56,Cell voltage above 4.22V,,,,,,,,
,,,,55,Temperature protection for charge,,,,,,,,
,,,,54,Charge current above 6A,,,,,,,,
,,,,53,Cell voltage above 4.12V,,,,,,,,
,,,,51,Full charge state,,,,,,,,
,,,,50,Cell balancing failure,,,,,,,,
,,,,49,Fuse blown detected - general,,,,,,,,
,,,,48,Fuse blown detected - during charge,,,,,,,,
,,,,47,SoH test is enabled,,,,,,,,
,,,,46,PSU failure,,,,,,,,
,,,,45,Sleep mode,,,,,,,,
,,,,44,End of Life,,,,,,,,
,,,,42,Temperature protection for discharge,,,,,,,,
,,,,41,Discharge current over 132A,,,,,,,,
,,,,40,Cell voltage under 2.6V,,,,,,,,
,,,,31,Stop Discharge,,,,,,,,
,,,,30,EoL,,,,,,,,
,,,,29,SoH check,,,,,,,,
,,,,28,Charge Enable,,,,,,,,
,,,,27,Fail,,,,,,,,
,,,,26,EoL LED,,,,,,,,
,,,,25,Fail LED,,,,,,,,
,,,,24,Online LED,,,,,,,,
,,,,16,Sleep,,,,,,,,
,,,,15,BatTest FCC update successful,,,,,,,,
,,,,14,BatTest FCC calculation,,,,,,,,
,,,,13,BatTest OCV checking after discharge,,,,,,,,
,,,,12,BatTest discharging,,,,,,,,
,,,,11,BatTest discharge permission,,,,,,,,
,,,,10,BatTest start time measured after wake up,,,,,,,,
,,,,9,BatTest suspended,,,,,,,,
,,,,8,BatTest start time elapsed,,,,,,,,
289,1,,,,,INTEGER,L,,,,,,Battery Test Result (0x31 of the BBU)
290,1,,,,,INTEGER,,,,,,,Fan RPM Override
291,1,,,,,FLAGS,,,,,,,Rack Monitor BBU Control Enable
,,,,12,Variable Charger CC Mode Override,,,,,,,,
,,,,5,Forced discharge,,,,,,,,
,,,,4,Charge timeout disable,,,,,,,,
,,,,0,SoH Override,,,,,,,,
292,1,,,,,FLAGS,,,,,,,LED Override
,,,,7,RED LED,,,,,,,,
,,,,6,AMBER LED,,,,,,,,
,,,,5,GREEN LED,,,,,,,,
,,,,0,LED Override,,,,,,,,
293,1,,,,,FLOAT,,,0,,,,PSU Input Frequency AC
294,1,,,,,FLOAT,,,9,,,,PSU Power Factor
295,1,,,,,FLOAT,,,9,,,,PSU iTHD
296,2,,,,,INTEGER,,,,,,,PSU CC Charge Failure Timeout
298,2,,,,,INTEGER,,,,,,,Time Stamping For Blackbox And SOH Test
300,2,,,,,INTEGER,,,,,,,Variable Charger Override Timeout
302,1,,,,,INTEGER,,,,,,,Configurable BBU Backup Time (90s-1200s)
303,1,,,,,INTEGER,,,,,,,Configurable PLS Timing (1s-300s)
304,1,,,,,INTEGER,,,,,,,Forced Discharge Timeout
305,2,,,,,INTEGER,,,,,,,SOH Timestamp
